Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,ASEN,1022,100,,,"JACKSON, JELLIFFE",12,0,,,,,,,,,,,,,MATERIALS SCI AEROSPACE,,,,,,,BD,EN,,LD,ASEN,OTH,1
20174,ASEN,3046,001,,,"SCOTT, FRANK",48,0,,,,,,,,,,,,,INTRO TO HUMANS IN AVIAT,,,,,,,BD,EN,,UD,ASEN,OTH,1
20174,ASEN,4128,001,,,"SCOTT, FRANK",9,0,,,,,,,,,,,,,HUMAN FACTORS ENGINEERIN,,,,,,,BD,EN,,UD,ASEN,OTH,1
20171,ASEN,1022,001,,,"HUSSEIN, MAHMOUD",224,136,100%,4.1,1.3,4.0,1.3,7-9,3.6,3.6,4.6,4.8,4.6,5.9,MATERIALS SCI AEROSPACE,,,,,,,BD,EN,,LD,ASEN,TTT,1
20171,ASEN,1022,001,,,"MAUTE, KURT",224,140,99%,4.3,1.2,5.2,0.8,7-9,3.8,4.8,4.7,4.8,4.7,5.9,MATERIALS SCI AEROSPACE,,,,,,,BD,EN,,LD,ASEN,TTT,2
20171,ASEN,1022,001,,,"KRATTIGER, DIMITRI",224,26,100%,4.4,1.2,4.7,1.0,7-9,4.2,4.4,4.8,4.9,4.8,5.6,MATERIALS SCI AEROSPACE,,,,,,,BD,EN,,LD,ASEN,TA,3
20171,ASEN,1022,001,,,"KHAJEHTOURIAN, ROMIK",224,6,100%,4.3,1.8,4.7,0.8,10-12,4.8,4.0,4.8,5.3,4.3,5.7,MATERIALS SCI AEROSPACE,,,,,,,BD,EN,,LD,ASEN,TA,4
20171,ASEN,1400,001,OL,,"KOEHLER, CHRISTOPHER",65,33,100%,5.4,1.1,5.3,0.9,10-12,5.4,5.4,5.0,5.2,5.2,5.8,GATEWAY TO SPACE,,,,,,,BD,EN,,LD,ASEN,OTH,1
20171,ASEN,1969,001,OL,,"KOEHLER, CHRISTOPHER",122,81,100%,4.7,1.6,4.9,1.5,4-6,5.2,4.9,4.6,2.9,4.2,5.5,PATHWAY TO SPACE,,,,,,,BD,EN,,LD,ASEN,OTH,1
20171,ASEN,2003,010,,,"AXELRAD, PENINA",156,126,98%,4.2,1.4,4.8,1.4,13-15,4.1,4.5,4.8,5.6,4.8,5.7,DYNAMICS & SYSTEMS,,,,,,,BD,EN,,LD,ASEN,TTT,1
20171,ASEN,2003,010,,,"NEREM, STEVEN",156,117,98%,4.1,1.3,3.9,1.3,13-15,4.0,3.3,4.6,5.4,4.7,5.9,DYNAMICS & SYSTEMS,,,,,,,BD,EN,,LD,ASEN,TTT,2
20171,ASEN,2003,011,,,"BASTAWROUS, MARY",156,13,92%,4.7,1.4,5.2,1.1,10-12,4.0,4.8,5.6,5.8,5.0,6.0,DYNAMICS & SYSTEMS,,,,,,,BD,EN,,LD,ASEN,TA,1
20171,ASEN,2003,012,,,"NEWBERRY, FELIX",156,19,100%,4.3,1.6,5.7,0.6,13-15,4.1,5.4,5.4,5.8,4.8,6.0,DYNAMICS & SYSTEMS,,,,,,,BD,EN,,LD,ASEN,TA,1
20171,ASEN,2003,013,,,"ASHLEY, AARON",156,19,89%,4.3,1.7,5.4,1.1,13-15,3.8,4.9,5.3,5.8,4.5,6.0,DYNAMICS & SYSTEMS,,,,,,,BD,EN,,LD,ASEN,TA,1
20171,ASEN,2004,010,,,"CLARK, TORIN",149,112,97%,5.4,0.6,5.5,0.7,10-12,5.5,5.3,5.4,4.5,5.2,5.9,VEH DESIGN & PERFORMANCE,,,,,,,BD,EN,,LD,ASEN,TTT,1
