Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,APPM,1350,300,,,"NARDINI, JOHN",23,6,100%,4.8,0.8,5.2,0.8,13-15,4.0,4.7,5.5,5.8,5.2,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,1360,300,,,"ABRAHAMSEN, DYLAN",15,9,100%,5.4,0.5,5.6,0.5,13-15,4.3,5.1,5.6,5.3,5.7,6.0,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,1360,301,,,"THALER, ERIC",15,11,100%,4.5,1.6,5.4,0.7,16+,4.4,4.7,5.4,5.5,5.2,5.8,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,1360,400,OL,,"LYLES, DANIELLE",58,22,100%,4.3,1.2,4.8,1.3,13-15,3.8,3.5,4.8,5.6,5.0,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,2350,300,,,"DUDLEY, HARRY",18,15,100%,4.3,0.9,5.1,0.7,13-15,3.9,4.3,5.2,5.5,5.2,6.0,CALCULUS 3 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,2350,301,,,"THALER, ERIC",27,23,100%,5.1,0.8,5.6,0.7,13-15,4.4,5.3,5.7,5.6,5.5,6.0,CALCULUS 3 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,2360,300,,,"THOMPSON, JEREMY",29,17,100%,4.7,0.9,5.4,0.7,13-15,4.0,5.2,5.3,5.4,5.1,5.8,INTRO DIFF EQ W/LIN ALG,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,2360,301,,,"GUILLERY, NATHAN",33,14,100%,4.6,1.1,5.4,0.9,13-15,4.1,5.1,5.5,5.3,5.4,5.9,INTRO DIFF EQ W/LIN ALG,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20174,APPM,3310,100,,,"BHAT, SUJEET",36,34,97%,5.1,0.9,5.8,0.4,13-15,4.4,5.7,5.6,5.2,5.4,6.0,MATRIX METHODS/APPLICATS,,,,,,,BD,AS,NS,UD,APPM,OTH,1
20174,APPM,4570,300,,,"ZAHARATOS, BRIAN",12,11,100%,5.1,0.7,5.2,0.9,10-12,4.3,4.8,5.4,4.3,4.5,5.8,STATISTICAL METHODS,,,,,,,BD,AS,NS,UD,APPM,OTH,1
20174,APPM,4650,300,,,"NORRIS, JAN ADAM",24,22,100%,5.3,0.9,5.6,0.8,10-12,3.9,5.6,4.9,4.9,5.4,5.9,INTERMED NUMER ANALYS 1,,,,,,,BD,AS,NS,UD,APPM,OTH,1
20174,APPM,6640,300,OL,,"KETELSEN, CHRISTIAN",5,4,100%,6.0,0.0,6.0,0.0,13-15,5.0,6.0,6.0,5.5,6.0,6.0,MULTIGRID METHODS,,,,,,,BD,AS,NS,GR,APPM,OTH,1
20171,APPM,1235,150,,,"WILLIAMS, SANDRA",30,15,100%,5.1,1.1,5.2,1.4,7-9,4.5,4.9,5.1,4.7,5.0,5.7,PRE-CALCULUS FOR ENGINEE,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1235,170,,,"TUTMAHER, RACHEL",40,17,100%,4.6,0.9,5.8,0.4,7-9,3.4,4.8,5.4,4.6,4.6,5.9,PRE-CALCULUS FOR ENGINEE,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1235,250,,,"MINK, JACOB",30,19,100%,4.9,0.8,5.1,1.0,4-6,4.3,4.5,4.9,4.3,4.9,5.7,PRE-CALCULUS FOR ENGINEE,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1235,270,,,"MINK, JACOB",40,23,100%,4.3,1.0,4.6,1.0,4-6,3.3,3.9,4.5,4.4,4.3,5.3,PRE-CALCULUS FOR ENGINEE,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1345,150,,,"COX, MURRAY",49,41,100%,5.6,0.7,6.0,0.2,10-12,4.5,5.7,5.6,5.1,5.5,6.0,CALCULUS 1B WITH ALGEBRA,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1345,160,,,"COX, MURRAY",22,10,100%,5.0,1.4,5.9,0.3,7-9,3.4,5.7,5.4,5.3,5.2,6.0,CALCULUS 1B WITH ALGEBRA,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1345,230,,,"BROIDO, ANNA",16,13,100%,5.8,0.4,5.8,0.6,7-9,4.5,5.4,5.7,5.0,5.5,6.0,CALCULUS 1B WITH ALGEBRA,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1345,240,,,"BROIDO, ANNA",24,16,100%,5.4,0.7,5.9,0.3,7-9,4.6,5.4,5.9,5.2,5.4,6.0,CALCULUS 1B WITH ALGEBRA,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1345,270,,,"BROIDO, ANNA",31,21,100%,5.1,1.0,5.7,0.5,7-9,4.1,5.0,5.5,5.0,5.2,5.8,CALCULUS 1B WITH ALGEBRA,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,120,,,"BHAT, SUJEET",42,21,100%,5.5,0.7,6.0,0.2,10-12,4.8,5.6,5.5,5.1,5.5,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1350,130,,,"BHAT, SUJEET",102,61,100%,5.3,0.8,5.9,0.3,10-12,4.6,5.6,5.5,5.4,5.6,5.9,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1350,150,,,"HALLOWELL, SUSAN",46,23,100%,5.0,1.1,5.0,1.1,10-12,4.3,4.7,5.3,5.3,5.3,5.7,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1350,170,,,"HALLOWELL, SUSAN",40,13,100%,4.3,1.1,4.8,1.1,7-9,3.8,4.7,4.7,5.3,5.1,5.9,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1350,211,,,"TILLQUIST, RICHARD",23,17,100%,5.1,1.1,5.4,0.8,7-9,4.9,4.9,5.6,5.1,5.1,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,221,,,"TILLQUIST, RICHARD",24,19,100%,4.5,1.0,4.5,1.0,7-9,3.8,3.9,4.8,4.5,4.7,5.8,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,222,,,"MEDINGER, ALAN",24,16,100%,5.0,0.8,5.6,0.6,7-9,3.9,5.1,4.8,4.9,5.1,5.7,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,231,,,"SLATTUM, VICTORIA",23,16,100%,4.5,0.7,4.4,1.1,7-9,4.4,3.8,4.4,4.7,4.8,5.9,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,232,,,"MILLER, CALEB",24,16,100%,4.6,1.2,5.0,1.4,7-9,4.0,4.4,4.9,5.1,4.9,5.8,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,241,,,"MILLER, CALEB",24,19,100%,4.8,1.1,5.1,1.0,7-9,4.7,4.7,4.7,4.8,5.1,5.8,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,242,,,"SLATTUM, VICTORIA",20,15,100%,4.2,1.4,4.5,1.5,7-9,4.0,3.9,4.8,5.3,4.9,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,251,,,"MILLER, CALEB",12,8,100%,5.3,0.7,5.8,0.5,7-9,4.1,5.3,5.4,5.3,5.0,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,252,,,"SLATTUM, VICTORIA",11,7,100%,5.0,1.0,5.7,0.5,7-9,3.7,4.7,5.3,5.0,5.1,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,262,,,"JONES, RYAN C",20,11,100%,5.0,0.6,5.7,0.5,4-6,4.0,5.5,5.7,4.8,4.9,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,272,,,"JONES, RYAN C",25,18,100%,4.8,0.9,5.5,0.8,7-9,4.2,4.9,5.4,5.1,5.2,5.9,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,281,,,"JONES, RYAN C",15,9,100%,4.7,0.9,5.4,0.5,7-9,4.0,5.0,5.1,5.0,4.9,5.9,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
20171,APPM,1350,801,,,"WILLIAMS, SANDRA",15,13,100%,5.2,0.7,5.5,0.7,7-9,4.5,5.3,5.5,5.5,5.5,6.0,CALCULUS 1 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,110,,,"THALER, ERIC",55,30,100%,4.8,1.0,5.1,1.0,10-12,4.3,4.9,5.1,5.4,5.3,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,120,,,"HUANG, YU-JUI",66,30,100%,4.6,1.2,5.2,1.2,10-12,4.3,4.6,4.9,5.4,4.9,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TTT,1
20171,APPM,1360,130,,,"COX, MURRAY",116,89,100%,4.8,1.0,5.8,0.5,10-12,4.3,5.6,5.5,5.7,5.4,6.0,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,140,,,"DOUGHERTY, ANNE",134,90,100%,4.9,0.9,5.5,0.8,10-12,4.2,5.3,5.2,5.6,5.4,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,160,,,"THALER, ERIC",98,70,100%,4.8,1.0,5.1,1.1,10-12,4.3,4.9,5.3,5.6,5.4,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,170,,,"CHANG, SILVA",106,75,100%,4.7,1.2,5.4,1.1,10-12,4.2,4.8,5.6,5.6,5.2,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,180,,,"TUTMAHER, RACHEL",56,31,100%,4.7,0.9,5.0,1.1,10-12,4.2,4.8,5.2,5.3,5.3,5.8,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,OTH,1
20171,APPM,1360,211,,,"YANG, LUCIA",25,23,100%,4.4,0.6,4.9,1.1,10-12,3.7,4.1,5.0,5.6,4.9,5.9,CALCULUS 2 FOR ENGINEERS,,,,,,,BD,AS,NS,LD,APPM,TA,1
