Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,CHEN,2120,100,,,"SCHOENBAUM, CAROLYN",11,7,100%,5.1,0.7,6.0,0.0,16+,3.6,5.3,6.0,5.3,5.6,6.0,CHEN MATERIAL/ENERGY BAL,,,,,,,BD,EN,,LD,CHEN,OTH,1
20174,CHEN,3200,200,,,"DE GRAZIA, JANET",42,37,100%,5.2,0.7,5.8,0.4,13-15,3.7,5.4,5.9,5.1,5.4,6.0,CHEM ENGINEERING FLUID M,,,,,,,BD,EN,,UD,CHEN,OTH,1
20174,MSEN,5000,050,,,"POPE, MELISSA",11,4,100%,5.0,0.8,5.0,0.8,13-15,5.3,5.0,5.3,4.5,4.8,6.0,MAT SCI FUNDAMENTALS,,,,,,,BD,EN,,GR,CHEN,OTH,1
20171,BMEN,2000,001,OL,,"NUTTELMAN, CHARLES",63,31,100%,4.8,1.3,5.1,1.2,4-6,5.3,5.1,5.4,3.3,4.3,5.8,INTRO BIOMEDICAL ENGINEE,,,,,,,BD,EN,,LD,CHEN,OTH,1
20171,BMEN,2000,001,OL,,"KRIST, JORDAN",63,23,96%,4.9,1.2,5.1,1.2,4-6,5.3,4.8,5.3,3.6,4.4,5.8,INTRO BIOMEDICAL ENGINEE,,,,,,,BD,EN,,LD,CHEN,TA,2
20171,BMEN,2000,001,OL,,"AUNE, ELLIS",63,23,100%,4.8,1.2,5.2,0.9,4-6,5.2,5.2,5.4,3.5,4.3,5.8,INTRO BIOMEDICAL ENGINEE,,,,,,,BD,EN,,LD,CHEN,TA,3
20171,CHEN,1211,010,,,"GIN, DOUG",100,56,100%,4.0,1.3,5.1,0.9,7-9,3.6,4.4,4.8,5.4,4.9,5.8,GENERAL CHEM ENGINEERS,,,,,,,BD,EN,,LD,CHEN,TTT,1
20171,CHEN,1211,013,,,"HARGUINDEY, ALBERT",32,16,100%,4.3,1.1,4.7,1.1,4-6,3.7,4.1,5.3,4.6,4.4,5.9,GENERAL CHEM ENGINEERS,,,,,,,BD,EN,,LD,CHEN,TA,1
20171,CHEN,1300,001,OL,,"YOUNG, WENDY",95,47,100%,4.7,1.2,5.3,0.8,0-3,4.8,5.3,5.3,2.5,4.4,5.8,INTRO TO CHEMICAL ENGINE,,,,,,,BD,EN,,LD,CHEN,OTH,1
20171,CHEN,1310,100,OL,,"NUTTELMAN, CHARLES",175,56,100%,4.8,1.2,5.0,1.2,7-9,3.3,4.7,5.1,4.5,5.1,5.7,INTRO ENGINEERING COMPUT,,,,,,,BD,EN,,LD,CHEN,OTH,1
