Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,CSCI,1240,200,OL,,"EISENBERG, MICHAEL",15,4,100%,4.8,1.5,5.3,1.0,7-9,4.0,5.3,5.5,4.0,4.3,6.0,COMPUTATIONAL WORLD,,,,,,,BD,EN,,LD,CSCI,TTT,1
20174,CSCI,1300,300,OL,,"WOMACK, AMBER",44,19,100%,5.3,0.7,5.4,0.7,10-12,4.5,5.2,5.6,4.6,5.2,6.0,CS 1: STARTING COMPUTING,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,1300,301,OL,,"GUELDE, DONOVAN",44,15,100%,5.3,0.7,5.5,0.9,7-9,4.6,5.0,5.5,4.7,5.3,6.0,CS 1: STARTING COMPUTING,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,1300,310,OL,,"WOMACK, AMBER",38,17,94%,5.3,0.9,5.8,0.4,10-12,4.6,5.4,5.8,4.6,5.5,6.0,CS 1: STARTING COMPUTING,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,1300,311,OL,,"GUELDE, DONOVAN",38,12,100%,5.3,0.9,5.4,0.7,10-12,4.5,4.3,5.8,4.8,5.3,5.8,CS 1: STARTING COMPUTING,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,2270,300,OL,,"MONTERO QUESADA, S",50,22,100%,4.0,1.2,3.9,1.6,13-15,4.8,4.0,4.9,4.7,4.9,5.5,COMP SCI II: DATA STRUCT,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,2270,301,OL,,"SURESH, ABHIJIT",50,18,100%,4.3,1.3,4.9,1.0,10-12,4.8,4.6,5.2,4.8,4.8,5.8,COMP SCI II: DATA STRUCT,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,2270,310,,,"HOLLER, AUSTIN",48,37,97%,4.7,0.9,5.2,0.9,10-12,4.8,5.0,5.0,4.4,4.7,5.9,COMP SCI II: DATA STRUCT,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,2270,311,,,"SURESH, ABHIJIT",48,38,100%,4.6,0.9,4.9,1.2,7-9,4.7,4.4,5.2,4.4,4.6,5.9,COMP SCI II: DATA STRUCT,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,2400,300,OL,,"HOLBROOK, ERIK",57,30,100%,4.8,0.9,5.0,1.2,10-12,4.1,4.8,5.3,5.0,5.1,6.0,COMPUTER SYSTEMS,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,2400,301,OL,,"TILLQUIST, RICHARD",47,19,100%,4.9,0.9,5.4,0.6,10-12,4.3,5.2,5.5,5.1,5.1,5.9,COMPUTER SYSTEMS,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,2400,302,OL,,"TILLQUIST, RICHARD",10,2,100%,5.5,0.7,5.5,0.7,10-12,4.5,5.0,5.5,5.0,5.0,6.0,COMPUTER SYSTEMS,,,,,,,BD,EN,,LD,CSCI,TA,1
20174,CSCI,2824,300,OL,,"MARTINY, THEODORE",40,21,100%,4.3,1.5,4.4,1.7,13-15,4.0,3.9,4.7,5.1,4.5,5.5,DISCRETE STRUCTURES,,,,,,,BD,EN,,LD,CSCI,OTH,1
20174,CSCI,3002,200,OL,,"SKIRPAN, MICHAEL",34,19,100%,5.5,0.8,5.8,0.5,10-12,4.0,5.7,5.6,3.6,4.9,5.9,HCC FOUNDATIONS/UCDD 1,,,,,,,BD,EN,,UD,CSCI,OTH,1
20174,CSCI,3022,300,,,"ZAHARATOS, BRIAN",24,19,100%,5.0,1.0,5.5,0.7,10-12,4.0,5.3,5.5,4.8,5.1,5.8,INTRO TO DATA SCIENCE,,,,,,,BD,EN,,UD,CSCI,OTH,1
