Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,AREN,2110,001,,,"HERNANDEZ, MARK",21,20,100%,5.2,0.8,5.7,0.6,13-15,4.0,5.8,5.3,4.9,5.3,5.6,THERMODYNAMICS,,,,,,,BD,EN,,LD,CVEN,TTT,1
20174,CVEN,2012,001,,,"PFEFFER, WILLIAM TAD",25,22,100%,5.1,0.9,5.2,0.8,13-15,4.1,5.0,5.0,3.5,5.0,5.7,INTRO TO GEOMATICS,,,,,,,BD,EN,,LD,CVEN,TTT,1
20174,CVEN,2121,100,,,"KEELY, JEFFREY",18,18,94%,4.5,1.5,4.6,1.6,10-12,4.2,4.5,4.2,3.9,4.6,5.6,ANALYTICAL MECHANICS 1,,,,,,,BD,EN,,LD,CVEN,OTH,1
20174,CVEN,3022,050,,,"HALEK, MILAN",11,10,100%,5.3,0.8,5.4,0.7,13-15,4.1,5.3,4.8,4.2,4.9,6.0,CONSTRUCTION SURVEYING,,,,,,,BD,EN,,UD,CVEN,OTH,1
20174,CVEN,3246,001,,,"MORRIS, MATTHEW",28,27,100%,5.7,0.6,5.9,0.4,10-12,4.6,5.7,5.8,4.4,5.7,5.9,INTRODUCTION TO CONSTRUC,,,,,,,BD,EN,,UD,CVEN,OTH,1
20174,CVEN,4834,800,OL,,"LINDEN, KARL",9,9,100%,5.6,0.9,5.8,0.4,16+,4.9,5.4,5.8,4.3,5.9,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,UD,CVEN,TTT,1
20174,CVEN,4835,200,,,"CAMATA, GUIDO",6,6,100%,4.8,1.0,5.2,1.0,13-15,4.8,5.7,5.0,5.3,5.2,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,UD,CVEN,OTH,1
20174,CVEN,4838,200,OL,,"TOTH, ANIKO",8,4,100%,4.8,1.0,5.0,0.8,7-9,4.0,5.3,4.8,3.8,4.3,5.3,SPECIAL TOPICS,,,,,,,BD,EN,,UD,CVEN,OTH,1
20174,CVEN,5363,100,OL,,"LIVNEH, BEN",6,5,100%,5.2,0.8,5.4,0.5,10-12,5.6,5.2,6.0,4.8,5.0,6.0,MODELING HYDRO SYSTEM,,,,,,,BD,EN,,GR,CVEN,TTT,1
20174,CVEN,5574,100,OL,,"KUCHENRITHER, R D",9,2,100%,6.0,0.0,6.0,0.0,13-15,6.0,6.0,6.0,5.5,6.0,6.0,WATER UTIL MGT:ISSUES AN,,,,,,,BD,EN,,GR,CVEN,OTH,1
20174,CVEN,5574,100B,OL,,"KUCHENRITHER, R D",8,4,100%,5.3,1.0,5.5,1.0,13-15,5.0,5.5,5.5,4.3,5.0,6.0,WATER UTIL MGT:ISSUES AN,,,,,,,BD,EN,,GR,CVEN,OTH,1
20174,CVEN,5838,200,OL,,"RUNNELS, SCOTT",3,2,100%,4.5,0.7,5.5,0.7,13-15,5.0,5.0,5.5,4.5,4.0,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,GR,CVEN,TTT,1
20174,CVEN,5838,200B,OL,,"RUNNELS, SCOTT",6,2,100%,5.5,0.7,6.0,0.0,10-12,6.0,6.0,6.0,5.0,5.0,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,GR,CVEN,TTT,1
20171,AREN,1027,010,OL,,"GORE, ALEXANDER",64,14,93%,4.2,1.8,4.5,1.7,7-9,4.9,4.3,3.5,4.2,4.6,5.5,ENGINEERING DRAWING,,,,,,,BD,EN,,LD,CVEN,OTH,1
20171,AREN,1027,010,OL,,"CAYKO, LANCE",64,13,92%,4.0,2.0,4.1,1.8,7-9,4.8,3.8,3.8,4.3,4.5,5.3,ENGINEERING DRAWING,,,,,,,BD,EN,,LD,CVEN,OTH,2
20171,AREN,2110,001,,,"MONTOYA, LUPITA",55,44,100%,4.2,1.3,4.3,1.6,7-9,3.4,4.2,4.8,4.8,4.7,5.7,THERMODYNAMICS,,,,,,,BD,EN,,LD,CVEN,TTT,1
20171,AREN,2120,001,,,"ZHAI, ZHIQIANG JOHN",37,27,100%,5.1,0.8,5.4,0.9,7-9,3.6,5.2,4.9,5.6,5.4,6.0,FLUID MECH & HEAT TRANSF,,,,,,,BD,EN,,LD,CVEN,TTT,1
20171,AREN,3060,001,OL,,"WUJEK, JOSEPH",22,12,100%,5.3,0.6,5.8,0.5,7-9,4.0,5.2,5.4,5.0,5.6,6.0,ENVIRON SYSTEMS BLDGS 2,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4010,001,,,"HENZE, GREGOR",10,10,100%,5.3,0.9,5.6,0.7,16+,4.3,5.3,5.3,6.0,5.8,6.0,HVAC SYSTEM MODELING & C,,,,,,,BD,EN,,UD,CVEN,TTT,1
20171,AREN,4045,001,,,"KEELY, JEFFREY",12,8,100%,5.3,1.2,5.6,1.1,7-9,3.6,5.6,4.4,5.1,5.3,6.0,ARCH STRUCTURES 2,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4110,001,,,"HENZE, GREGOR",16,14,100%,5.2,0.7,5.4,0.8,13-15,4.6,5.4,5.1,5.1,5.3,5.9,HVAC DESIGN,,,,,,,BD,EN,,UD,CVEN,TTT,1
20171,AREN,4130,003,OL,,"JONGEWAARD, MARK",14,8,100%,5.1,1.1,5.1,1.1,7-9,4.9,4.6,5.9,4.8,5.5,5.6,OPTICAL DESIGN FOR ILLUM,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4317,001,,,"VASCONEZ, SANDRA",32,32,100%,5.2,0.8,5.8,0.4,13-15,5.4,5.3,5.8,5.2,5.6,6.0,ARCHITECTURAL ENGINEERIN,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4317,001,,,"KRARTI, MONCEF",8,8,100%,5.4,0.7,5.8,0.5,13-15,4.8,5.1,5.5,5.4,5.5,6.0,ARCHITECTURAL ENGINEERIN,,,,,,,BD,EN,,UD,CVEN,TTT,2
20171,AREN,4317,001,,,"CURRIE, SAMUEL",8,8,100%,5.5,0.8,5.5,1.1,13-15,4.1,5.4,5.1,5.3,5.6,6.0,ARCHITECTURAL ENGINEERIN,,,,,,,BD,EN,,UD,CVEN,OTH,3
20171,AREN,4317,001,,,"ARNESON, ERIN",8,8,88%,5.7,0.5,5.7,0.5,13-15,5.3,5.7,5.7,5.4,5.7,6.0,ARCHITECTURAL ENGINEERIN,,,,,,,BD,EN,,UD,CVEN,OTH,4
20171,AREN,4317,001,,,"JADAAN, DHAFER",8,8,100%,4.1,1.0,2.9,1.1,10-12,5.6,2.6,3.9,4.6,4.0,5.0,ARCHITECTURAL ENGINEERIN,,,,,,,BD,EN,,UD,CVEN,OTH,5
20171,AREN,4506,001,,,"MC DIVITT, WILLIAM",15,14,100%,4.6,1.1,4.9,0.8,4-6,4.1,5.0,4.5,3.6,4.1,5.8,PROJECT MANAGEMENT 1,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4550,001,,,"VASCONEZ, SANDRA",28,23,100%,5.6,0.7,5.7,0.7,7-9,4.9,5.7,5.7,4.3,5.5,6.0,ILLUMINATION 2,,,,,,,BD,EN,,UD,CVEN,OTH,1
20171,AREN,4606,001,,,"MORRIS, MATTHEW",43,41,100%,5.4,0.7,5.8,0.5,4-6,4.9,5.6,5.6,4.2,5.2,6.0,PROJECT MANAGEMENT 2,,,,,,,BD,EN,,UD,CVEN,OTH,1
