Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,ECEN,3010,110,OL,,"NEWHALL, WILLIAM",46,10,100%,5.4,0.7,5.6,0.7,13-15,4.3,5.3,5.0,4.9,5.2,5.8,CIRC/ELECT FOR MECH ENG,,,,,,,BD,EN,,UD,ECEN,OTH,1
20174,ECEN,3010,111,OL,,"NEWHALL, WILLIAM",46,7,100%,5.3,1.1,5.3,0.8,10-12,4.4,5.1,5.0,4.9,5.1,5.6,CIRC/ELECT FOR MECH ENG,,,,,,,BD,EN,,UD,ECEN,OTH,1
20174,ECEN,3360,300,OL,,"MAULT, ALEXANDER",17,8,88%,4.0,1.8,4.0,1.9,10-12,5.0,4.6,3.5,4.3,4.3,5.6,DIGITAL DESIGN LABORATOR,,,,,,,BD,EN,,UD,ECEN,OTH,1
20174,ECEN,3360,301,OL,,"MAULT, ALEXANDER",17,3,100%,5.3,0.6,5.3,1.2,7-9,5.0,5.3,5.7,3.7,5.0,6.0,DIGITAL DESIGN LABORATOR,,,,,,,BD,EN,,UD,ECEN,OTH,1
20174,ECEN,5593,407B,OL,,"CONNORS, DANIEL",12,6,83%,5.0,1.0,4.3,2.3,7-9,5.3,5.0,4.0,5.0,4.2,5.3,ADVANCED COMP ARCH,,,,,,,BD,EN,,GR,ECEN,TTT,1
20174,ECEN,5623,401,OL,,"SIEWERT, SAMUEL",28,14,100%,4.4,1.1,4.9,1.1,13-15,5.6,4.9,5.1,5.3,4.7,5.9,REAL-TIME EMBEDDED SYSTM,,,,,,,BD,EN,,GR,ECEN,OTH,1
20174,ECEN,5763,401,OL,,"SIEWERT, SAMUEL",3,2,100%,6.0,0.0,6.0,0.0,13-15,6.0,6.0,6.0,6.0,6.0,6.0,EMBEDDED MACHINE VISION,,,,,,,BD,EN,,GR,ECEN,OTH,1
20174,ECEN,5813,401,OL,,"FOSDICK, ALEXANDER",7,5,100%,5.2,0.8,5.8,0.4,13-15,5.6,5.8,5.8,5.0,5.4,6.0,PRINCIPLE OF EMBEDDED SO,,,,,,,BD,EN,,GR,ECEN,OTH,1
20174,ECEN,5813,401B,OL,,"FOSDICK, ALEXANDER",5,3,100%,5.3,0.6,5.7,0.6,16+,5.3,5.3,6.0,5.0,5.3,6.0,PRINCIPLE OF EMBEDDED SO,,,,,,,BD,EN,,GR,ECEN,OTH,1
20171,ECEN,1030,001,OL,,"SOMENZI, FABIO",16,4,100%,5.0,1.2,5.8,0.5,4-6,4.0,5.3,5.3,4.8,5.3,6.0,SPECIAL TOPICS,,,,,,,BD,EN,,LD,ECEN,TTT,1
