Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,MATH,1011,100,OL,,"LITTLE, VANESSA",24,8,100%,5.4,0.7,5.8,0.5,10-12,3.3,5.6,6.0,3.9,4.5,6.0,COLLEGE ALGEBRA,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1011,200,,,"MORITZ, DANIEL",25,18,100%,5.4,0.6,5.9,0.2,10-12,2.3,5.6,5.4,5.1,5.0,6.0,COLLEGE ALGEBRA,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1012,001,,,"ANGEL, EITAN",16,12,100%,5.0,1.5,5.9,0.3,10-12,1.8,5.3,5.8,4.5,4.7,5.9,QUANT REASON/MATH SKILLS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1012,002,,,"DANIEL, MICHAEL",20,16,100%,4.4,1.5,4.7,1.4,10-12,2.4,4.1,4.9,4.5,4.3,5.7,QUANT REASON/MATH SKILLS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1012,100,,,"SPARKS, ATHENA",14,13,100%,4.2,1.3,5.2,1.4,10-12,2.2,4.2,4.8,3.7,3.8,5.5,QUANT REASON/MATH SKILLS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1012,200,,,"NITA, ALEXANDRU",10,5,100%,5.6,0.5,5.8,0.4,10-12,3.0,5.4,5.8,3.6,4.8,6.0,QUANT REASON/MATH SKILLS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1081,100,OL,,"HARPER, JACOB",10,3,100%,3.0,1.0,2.7,0.6,13-15,2.3,2.3,4.3,5.0,4.0,5.7,CALCULUS/SOC SCI & BUS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1112,400,,,"GRULKE, ELIZABETH",19,11,100%,5.0,1.1,5.9,0.3,10-12,2.9,5.5,5.9,4.7,5.5,6.0,MATH ANALYSIS IN BUSINES,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1112,401,,,"GRULKE, ELIZABETH",17,8,100%,5.6,0.5,6.0,0.0,7-9,4.5,5.9,5.9,4.6,5.6,6.0,MATH ANALYSIS IN BUSINES,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1150,400,,,"STALVEY, HARRISON",16,16,100%,5.1,1.1,5.4,0.9,7-9,3.5,4.7,5.3,4.6,5.4,5.7,PRECALCULUS MATHEMATICS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1150,401,,,"STALVEY, HARRISON",17,17,100%,4.8,1.1,5.2,1.5,7-9,3.4,4.8,5.5,4.8,4.7,5.6,PRECALCULUS MATHEMATICS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1300,400,,,"NG, CHERRY",25,17,100%,5.0,1.2,5.6,0.6,10-12,3.8,5.5,5.6,5.1,5.3,6.0,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1300,400,,,"FRIEDMAN-GERLICZ, C",25,18,100%,4.1,1.4,4.0,1.7,13-15,3.8,3.8,4.9,5.2,5.0,5.7,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,2
20174,MATH,1300,401,,,"LU, SHEN",18,12,100%,4.3,1.2,4.4,1.4,13-15,3.3,3.8,5.2,5.1,4.7,5.8,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1300,401,,,"CORONA, ISABEL",18,13,100%,4.6,1.1,5.6,0.5,10-12,3.2,4.8,5.2,5.2,5.5,5.7,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,2
20174,MATH,1300,402,,,"BRONSTEIN, ALBERT",25,18,100%,5.0,1.2,5.4,0.9,10-12,3.6,4.7,5.1,5.2,5.3,5.8,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1300,403,,,"THOMPSON, ALBANY",25,14,100%,4.6,1.3,5.0,1.0,10-12,3.2,4.5,5.1,4.8,4.7,5.7,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,1300,403,,,"PIERSON, MATTHEW",25,16,100%,4.7,1.1,5.1,0.7,10-12,3.6,4.8,5.3,4.8,4.8,5.8,CALCULUS 1,,,,,,,BD,AS,NS,LD,MATH,OTH,2
20174,MATH,2001,100,,,"NEWBERRY, PATRICK",23,15,100%,4.6,0.8,5.5,0.7,13-15,4.4,5.4,5.6,4.9,5.4,5.7,INTRO TO DISCRETE MATHEM,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2300,400,,,"HONG, JUN",21,17,100%,4.5,1.1,4.1,1.2,13-15,3.6,3.8,4.7,5.2,5.1,5.9,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2300,400,,,"GERICS, BRENDT",21,16,100%,5.2,0.8,6.0,0.0,13-15,3.7,5.8,5.8,5.1,5.4,6.0,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,2
20174,MATH,2300,401,,,"ROY, MICHAEL",24,11,100%,4.6,0.9,5.6,0.7,10-12,3.4,5.2,5.2,5.2,5.2,6.0,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2300,402,,,"BRONSTEIN, ALBERT",20,14,100%,4.9,1.3,5.1,1.4,13-15,4.3,4.6,4.6,4.8,5.4,5.6,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2300,403,,,"NEWBERRY, PATRICK",25,20,100%,4.6,1.0,5.1,1.4,10-12,3.8,5.1,5.7,5.4,4.9,5.8,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2300,403,,,"BALENTINE, BRADEN",25,19,100%,4.7,1.1,5.4,0.8,10-12,3.8,4.8,5.0,5.4,5.2,5.9,CALCULUS 2,,,,,,,BD,AS,NS,LD,MATH,OTH,2
20174,MATH,2400,400,,,"MISHEV, ILIA",23,17,100%,5.0,0.7,5.4,0.8,10-12,4.1,4.9,5.4,5.2,5.2,6.0,CALCULUS 3,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2400,401,,,"TIMMER, JOSEPH",25,19,95%,4.8,1.2,5.1,1.0,10-12,4.2,5.1,5.0,5.2,5.3,5.8,CALCULUS 3,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2400,402,,,"ROY, MICHAEL",23,6,100%,4.5,1.0,5.8,0.4,13-15,4.2,5.0,5.7,5.3,5.3,5.8,CALCULUS 3,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2510,100,OL,,"DANIEL, MICHAEL",21,3,100%,4.3,1.5,4.7,1.5,7-9,2.7,4.3,5.0,4.7,4.3,5.3,INTRODUCTION/STATISTICS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,2510,200,,,"TIMMER, JOSEPH",25,19,100%,5.2,0.8,5.4,1.0,10-12,3.0,4.8,5.6,4.4,4.9,5.8,INTRODUCTION/STATISTICS,,,,,,,BD,AS,NS,LD,MATH,OTH,1
20174,MATH,3001,200,,,"TRINH, TIEN",17,17,100%,5.2,1.3,5.9,0.3,10-12,4.3,5.5,5.3,5.8,5.4,6.0,ANALYSIS I,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,3130,100,,,"BERRIZBEITIA, PEDRO",25,20,100%,3.8,1.3,3.8,1.4,10-12,3.9,3.6,5.0,4.7,3.8,5.7,INTRO TO LINEAR ALGEBRA,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,3130,200,,,"MANLEY, KEVIN",24,19,100%,5.1,1.1,5.5,0.8,10-12,4.0,5.2,5.6,5.0,5.3,6.0,INTRO TO LINEAR ALGEBRA,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,3130,201,,,"GREEN, RICHARD M",19,14,100%,5.0,1.3,5.2,1.2,13-15,3.7,4.7,5.6,5.3,5.1,5.9,INTRO TO LINEAR ALGEBRA,,,,,,,BD,AS,NS,UD,MATH,TTT,1
20174,MATH,3140,100,,,"GREEN, RICHARD M",8,7,100%,5.4,0.5,5.4,1.1,13-15,4.3,5.1,5.3,5.3,5.6,5.6,ABSTRACT ALGEBRA 1,,,,,,,BD,AS,NS,UD,MATH,TTT,1
20174,MATH,3430,200,,,"BERRIZBEITIA, PEDRO",27,21,100%,3.7,1.5,3.7,1.8,13-15,4.9,3.9,4.5,5.2,4.0,5.9,ORDINARY DIFF EQUATIONS,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,3510,100,,,"DAVISON, TRUBEE",25,15,100%,4.7,0.7,4.8,0.9,10-12,4.1,4.6,5.4,5.5,4.8,5.9,INTRO TO PROB AND STATS,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,4510,100,,,"ENGLANDER, JANOS",28,20,100%,4.8,1.1,5.1,1.3,10-12,3.9,4.3,5.0,4.7,4.8,5.9,INTRO-PROBABILITY THEORY,,,,,,,BD,AS,NS,UD,MATH,TTT,1
20174,MATH,4520,200,,,"YANG, XINGZHOU",16,14,100%,4.1,1.4,3.9,1.4,10-12,4.0,3.2,5.4,4.6,4.4,6.0,INTRO TO MATH STATISTICS,,,,,,,BD,AS,NS,UD,MATH,OTH,1
20174,MATH,4810,050,,,"PFLAUM, MARKUS",11,11,100%,5.5,0.5,5.6,0.5,16+,4.8,5.5,5.9,5.6,5.5,6.0,SPECIAL TOPICS IN MATHEM,,,,,,,BD,AS,NS,UD,MATH,TTT,1
