Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,MCEN,2063,200,OL,,"THORSETT-HILL, KAREN",40,13,100%,4.4,1.4,4.9,1.6,13-15,4.1,4.7,5.4,4.5,5.0,5.8,MECHANICS OF SOLIDS,,,,,,,BD,EN,,LD,MCEN,OTH,1
20174,MCEN,3012,300,OL,,"NORRIS, JAN",20,8,100%,5.3,0.7,5.4,0.7,10-12,4.4,5.1,4.9,5.4,5.4,5.8,THERMODYNAMICS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20174,MCEN,3022,300,,,"STEINBRENNER, JULIE",43,37,100%,5.2,0.7,5.6,0.7,10-12,3.8,5.4,5.5,5.4,5.4,5.9,HEAT TRANSFER,,,,,,,BD,EN,,UD,MCEN,OTH,1
20174,MCEN,4228,001,,,"FERGUSON, VIRGINIA",12,12,100%,5.4,0.7,5.6,0.7,16+,4.3,5.6,5.8,5.2,5.3,6.0,SPTP: MECHNICAL ENGINEER,,,,,,,BD,EN,,UD,MCEN,TTT,1
20174,MCEN,4228,100,,,"RUBEN, SHALOM",17,16,94%,5.4,0.6,5.1,0.9,13-15,4.8,5.6,5.3,5.2,5.5,5.8,SPTP: MECHNICAL ENGINEER,,,,,,,BD,EN,,UD,MCEN,OTH,1
20174,MCEN,4228,200,,,"TAN, WEI",10,8,100%,4.6,1.6,4.1,1.4,13-15,4.8,4.5,4.9,4.6,4.8,6.0,SPTP: MECHNICAL ENGINEER,,,,,,,BD,EN,,UD,MCEN,TTT,1
20171,MCEN,1024,010,,,"STOLDT, CONRAD",106,60,100%,4.5,1.0,5.0,1.0,7-9,3.3,4.6,4.7,4.7,4.5,5.9,CHEM FOR ENERGY & MATERI,,,,,,,BD,EN,,LD,MCEN,TTT,1
20171,MCEN,1024,011,,,"SCHNEIDER, STEPHANIE",106,62,100%,4.7,1.0,5.4,0.8,4-6,3.4,5.1,5.4,4.6,4.7,5.8,CHEM FOR ENERGY & MATERI,,,,,,,BD,EN,,LD,MCEN,TA,1
20171,MCEN,1025,010,OL,,"RIFFELL, DANIEL",157,61,100%,4.7,1.3,4.6,1.3,7-9,4.8,4.4,4.6,4.1,4.9,5.7,COMP AID DESIGN/FABRCTN,,,,,,,BD,EN,,LD,MCEN,OTH,1
20171,MCEN,2024,001,,,"YIN, XIAOBO",134,81,100%,3.7,1.3,4.0,1.3,7-9,3.2,3.6,4.4,4.4,4.0,5.9,MATERIALS SCIENCE,,,,,,,BD,EN,,LD,MCEN,TTT,1
20171,MCEN,2043,001,,,"LONG, RONG",128,55,98%,4.8,0.8,5.0,1.0,7-9,4.1,4.5,5.3,4.7,4.9,5.9,DYNAMICS,,,,,,,BD,EN,,LD,MCEN,TTT,1
20171,MCEN,2063,001,,,"MURRAY, TODD",135,70,99%,3.8,1.3,3.6,1.4,7-9,4.0,3.5,4.2,5.0,4.5,5.8,MECHANICS OF SOLIDS,,,,,,,BD,EN,,LD,MCEN,TTT,1
20171,MCEN,3012,001,,,"KNUTSEN, JEFFREY",106,82,99%,5.4,0.8,5.7,0.7,10-12,4.3,5.7,5.6,5.5,5.6,6.0,THERMODYNAMICS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3021,001,,,"KNUTSEN, JEFFREY",133,91,100%,5.3,0.9,5.6,0.8,10-12,4.3,5.6,5.4,5.7,5.5,5.9,FLUID MECHANICS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3022,001,,,"REGNER, KEITH",138,90,97%,5.4,0.8,5.8,0.4,10-12,4.0,5.7,5.8,5.4,5.4,6.0,HEAT TRANSFER,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3022,001,,,"WU, CHUANWEI",69,44,89%,5.3,0.8,5.1,1.0,10-12,4.2,4.9,5.1,5.4,5.4,5.8,HEAT TRANSFER,,,,,,,BD,EN,,UD,MCEN,TA,2
20171,MCEN,3022,001,,,"ZHAO, XINPENG",69,40,90%,5.0,0.9,4.9,1.1,7-9,4.2,4.6,5.1,5.3,5.2,5.9,HEAT TRANSFER,,,,,,,BD,EN,,UD,MCEN,TA,3
20171,MCEN,3022,400,OL,,"MITRANO, PETER",27,15,100%,3.9,1.7,3.1,2.0,13-15,4.5,3.1,4.1,5.5,4.1,4.3,HEAT TRANSFER,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3025,010,,,"TSAI, JANET",122,81,99%,5.3,0.7,5.7,0.6,10-12,4.9,5.7,5.8,4.8,5.2,6.0,COMPONENT DESIGN,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3025,011,,,"CARR, KYLE",62,17,88%,5.3,0.6,5.2,0.9,10-12,4.9,4.9,5.1,4.8,5.3,6.0,COMPONENT DESIGN,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,3025,011,,,"OLIVER, SAMUEL",62,14,93%,5.3,0.6,4.9,1.2,10-12,4.2,4.2,4.5,4.8,5.4,5.8,COMPONENT DESIGN,,,,,,,BD,EN,,UD,MCEN,TA,2
20171,MCEN,3025,011,,,"ECKSTEIN, KEVIN",62,8,100%,5.5,0.5,5.0,1.3,10-12,5.3,4.9,5.0,5.3,5.5,6.0,COMPONENT DESIGN,,,,,,,BD,EN,,UD,MCEN,TA,3
20171,MCEN,3025,401,OL,,"CASTRO, FRANCISCO",20,9,100%,5.2,0.8,5.4,0.7,13-15,5.0,5.0,5.8,5.2,5.1,6.0,COMPONENT DESIGN,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3030,001,,,"ENGVALL, LUKE",134,56,100%,4.5,0.9,4.8,0.9,10-12,3.4,4.5,4.9,5.1,4.9,5.9,COMPUTATIONAL METHODS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3032,001,,,"WALKER, MICHAEL",119,89,99%,5.6,0.6,6.0,0.1,7-9,3.7,5.9,5.9,4.9,5.6,6.0,THERMODYNAMICS 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3032,400,OL,,"MCNEILL, NATHAN",27,13,100%,5.5,0.7,5.9,0.3,10-12,4.7,5.7,5.6,4.4,5.3,5.9,THERMODYNAMICS 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3047,010,,,"REGNER, KEITH",104,90,100%,5.1,0.8,5.8,0.4,7-9,3.5,5.5,5.7,4.1,4.9,6.0,DATA ANALYSIS/EXP METHOD,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3047,011,,,"COLE, RYAN",52,44,93%,5.0,0.7,5.3,0.9,7-9,3.3,4.8,5.1,4.0,4.7,5.9,DATA ANALYSIS/EXP METHOD,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,3047,012,,,"KARBER, KYLE",52,40,97%,5.0,0.8,5.2,1.0,7-9,3.5,4.9,5.2,4.0,4.9,5.9,DATA ANALYSIS/EXP METHOD,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,3047,400,OL,,"MITRANO, PETER",17,12,100%,3.0,1.8,2.8,1.9,13-15,3.8,2.8,3.9,5.4,3.8,4.5,DATA ANALYSIS/EXP METHOD,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,3047,410,OL,,"MITRANO, PETER",8,1,100%,4.0,,1.0,,13-15,3.0,2.0,4.0,4.0,3.0,5.0,DATA ANALYSIS/EXP METHOD,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4026,010,OL,,"KERN, MADALYN",82,53,100%,3.5,1.5,3.6,1.6,7-9,4.4,3.5,4.9,3.7,3.7,5.8,MFG PROCESSES & SYSTEMS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4026,011,OL,,"YOSHIMURA, JOSEPH",19,6,100%,4.3,0.8,5.3,0.8,7-9,4.3,4.8,4.7,4.3,4.3,5.8,MFG PROCESSES & SYSTEMS,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,4026,012,OL,,"JOHANNES, KARL",40,16,100%,3.9,1.4,4.8,1.1,7-9,4.2,4.4,4.9,3.4,3.9,5.9,MFG PROCESSES & SYSTEMS,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,4026,013,OL,,"PATEL, KRISHAN",23,11,100%,3.7,1.3,3.9,1.6,7-9,3.7,3.5,4.6,3.9,4.1,6.0,MFG PROCESSES & SYSTEMS,,,,,,,BD,EN,,UD,MCEN,TA,1
20171,MCEN,4043,010,,,"RUBEN, SHALOM",103,67,100%,4.9,1.0,4.8,1.2,10-12,4.0,5.1,4.4,5.5,5.1,5.8,SYSTEM DYNAMICS,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4047,400,OL,,"BROWER, TIM",25,7,100%,5.1,1.1,5.3,0.8,4-6,4.6,4.7,5.4,4.4,4.4,5.6,MEASUREMENTS 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4085,400,OL,,"CASTRO, FRANCISCO",25,6,100%,5.5,0.8,5.7,0.5,13-15,5.0,5.5,5.5,5.7,5.8,5.5,ME DESIGN PROJECT 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4085,800,,,"STEINBRENNER, JULIE",242,178,100%,5.4,0.9,5.6,0.9,13-15,5.4,5.5,5.6,5.5,5.5,5.9,ME DESIGN PROJECT 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
20171,MCEN,4085,800,,,"KOTYS-SCHWARTZ, D",242,200,99%,5.4,0.9,5.6,0.9,13-15,5.3,5.4,5.5,5.5,5.5,5.9,ME DESIGN PROJECT 2,,,,,,,BD,EN,,UD,MCEN,OTH,2
20171,MCEN,4085,801,OL,,"VANCE, MARINA",8,5,100%,5.4,0.5,5.4,0.5,13-15,5.0,5.2,5.2,5.4,5.8,6.0,ME DESIGN PROJECT 2,,,,,,,BD,EN,,UD,MCEN,TTT,1
20171,MCEN,4085,802,OL,,"MUMM, ERIK",7,1,100%,5.0,,5.0,,16+,5.0,5.0,4.0,5.0,6.0,6.0,ME DESIGN PROJECT 2,,,,,,,BD,EN,,UD,MCEN,OTH,1
