Yearterm,Subject,Crse,Sec,OnlineFCQ,BDContinEdCrse,Instructor,FormsRequested,FormsReturned,CourseOverallPctValid,CourseOverall,CourseOverall_SD,InstructorOverall,InstructorOverall_SD,HoursPerWkInclClass,PriorInterest,InstrEffective,Availability,Challenge,HowMuchLearned,InstrRespect,CrsTitle,R_Presnt,R_Fair,Workload,R_Divstu,R_Access,R_Learn,Campus,College,ASdiv,Level,Fcqdept,Instr_Group,I_Num
20174,PHYS,1110,100,,,"SAWICKI, MIKOLAJ",57,26,96%,4.1,1.4,4.6,1.4,13-15,4.0,4.3,4.8,5.3,4.6,5.8,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,OTH,1
20174,PHYS,1110,110,,,"MISSERT, ANDREW",20,12,100%,4.8,0.9,5.6,0.5,10-12,3.9,5.3,5.5,5.3,5.3,6.0,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1110,111,,,"PERIDO, JOANNA",19,5,100%,2.4,1.1,3.2,1.1,10-12,4.0,2.8,4.0,4.4,3.6,6.0,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1110,112,,,"LEWIS, WILLIAM E",18,10,100%,4.7,0.9,5.6,0.7,13-15,4.2,5.0,5.4,5.1,4.9,5.7,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1120,200,,,"SAWICKI, MIKOLAJ",91,54,100%,4.1,1.2,4.4,1.4,16+,3.8,3.8,4.9,5.3,4.6,5.7,GENERAL PHYSICS 2,,,,,,,BD,AS,NS,LD,PHYS,OTH,1
20174,PHYS,1120,210,,,"HABICH, MATHIS",28,23,100%,4.4,0.9,5.2,1.1,13-15,3.9,4.7,5.5,5.4,4.8,5.3,GENERAL PHYSICS 2,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1120,211,,,"SHOJI, TYKO",25,19,100%,3.9,1.5,5.3,0.9,16+,3.6,4.8,5.2,5.4,3.9,6.0,GENERAL PHYSICS 2,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1120,212,,,"NI, YIFEI",25,15,100%,4.4,1.6,5.1,1.0,13-15,3.4,4.7,5.6,5.5,4.9,6.0,GENERAL PHYSICS 2,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1120,213,,,"LEWIS, WILLIAM E",13,9,100%,4.8,1.0,5.7,1.0,16+,4.3,5.3,5.7,5.3,4.7,6.0,GENERAL PHYSICS 2,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1140,200,,,"SCHEFFERSTEIN, MICHA",72,65,100%,5.2,0.9,5.8,0.4,4-6,3.6,5.4,5.8,3.8,4.6,5.9,EXPERIMENTAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,OTH,1
20174,PHYS,1140,210,,,"KALUBOVILAGE, MANOJ",10,5,100%,5.6,0.5,6.0,0.0,4-6,3.0,5.6,5.6,3.8,4.6,6.0,EXPERIMENTAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1140,211,,,"ZHENG, XU",18,8,100%,5.1,0.8,5.1,0.6,4-6,4.0,4.6,5.4,3.9,4.3,5.9,EXPERIMENTAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1140,212,,,"ZHANG, YU",22,6,100%,5.5,0.5,5.5,0.5,7-9,3.7,4.8,5.6,4.2,5.0,5.8,EXPERIMENTAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1140,213,,,"STRAATSMA, CAMERON",22,3,100%,5.7,0.6,6.0,0.0,4-6,3.0,5.3,5.7,3.7,5.0,6.0,EXPERIMENTAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,1230,100,,,"MACLENNAN, JOSEPH",12,7,100%,4.4,1.5,5.0,1.2,7-9,2.7,5.0,4.3,4.1,4.3,5.7,LIGHT/COLOR NONSCIENTIST,,,,,,,BD,AS,NS,LD,PHYS,OTH,1
20174,PHYS,1240,200,,,"HERMANN, ALLEN",8,6,100%,5.2,1.2,5.5,0.8,7-9,4.0,4.8,5.0,4.0,5.0,5.3,SOUND AND MUSIC,,,,,,,BD,AS,NS,LD,PHYS,OTH,1
20174,PHYS,2010,100,,,"BEALE, PAUL",69,44,100%,4.4,1.2,5.1,1.3,13-15,2.9,4.6,5.0,5.1,4.7,5.9,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TTT,1
20174,PHYS,2010,111,,,"TANG, CHEN",31,23,100%,4.3,1.2,4.9,1.1,10-12,2.7,4.0,5.1,4.9,4.6,6.0,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
20174,PHYS,2010,121,,,"NOEUR, NARA",29,24,100%,4.5,1.3,5.1,0.9,7-9,3.0,4.5,5.4,4.6,4.8,5.8,GENERAL PHYSICS 1,,,,,,,BD,AS,NS,LD,PHYS,TA,1
